294922, 0.001190, 0.003342, 0.005341, -433, 47, -91, 917, 0, 0, 519, 430, 254, 65508
299930, 0.001175, 0.006073, 0.006210, 220, -118, 451, 905, 0, 0, 512, 207, 574, 6
304938, 0.001160, 0.009979, 0.007401, 72, 86, -12, 898, 0, 0, 512, 272, 816, 2
309946, 0.001221, 0.009689, 0.010849, -201, -39, -384, 897, 0, 0, 512, 737, 65483, 28
314954, 0.001251, 0.008926, 0.008591, 17, -25, 349, 898, 0, 0, 512, 65093, 65385, 23
319962, 0.001297, 0.007919, 0.008224, -20, -100, 246, 899, 0, 0, 514, 65484, 65335, 25
324970, 0.001312, 0.006424, 0.007599, 89, -19, 176, 907, 0, 0, 517, 65432, 65234, 22
329978, 0.001312, 0.005005, 0.006943, -207, -16, 147, 914, 0, 0, 519, 65423, 65250, 15
334986, 0.001266, 0.005997, 0.007462, 358, -681, 664, 917, 0, 0, 521, 134, 215, 1
339994, 0.001251, 0.007874, 0.008469, 259, 1, -98, 929, 0, 0, 527, 235, 397, 5
345002, 0.001266, 0.007111, 0.009216, 80, -678, 432, 929, 0, 0, 525, 182, 65386, 20
